sum Sed,offset Sed (m^3),diff Sed,store (m^3),fill (%),fill (m)
639031.6869,180450,458581.6869,641591,71.47570445,2.646905588
640230.6788,179550,460680.6788,641591,71.80285865,2.659020842
619170.1314,196875,422295.1314,641591,65.8199899,2.437461798
611379.8274,191475,419904.8274,641591,65.44743105,2.423665108
584110.4068,144225,439885.4068,641591,68.56165482,2.538991797
512571.9797,153675,358896.9797,641591,55.93859323,2.071531525
550271.3394,180450,369821.3394,641591,57.64129163,2.134586264
604204.6081,179550,424654.6081,641591,66.18774391,2.451080554
588585.0715,196875,391710.0715,641591,61.05292492,2.260926694
517052.3331,191475,325577.3331,641591,50.74530863,1.879212552
491585.4208,144225,347360.4208,641591,54.14047592,2.004943209
489740.6796,153675,336065.6796,641591,52.38004891,1.93975065
516007.431,180450,335557.431,641591,52.30083199,1.93681707
519060.5214,179550,339510.5214,641591,52.91697068,1.959634067
497401.402,196875,300526.402,641591,46.840807,1.734620103
464355.9109,191475,272880.9109,641591,42.53191065,1.57505201
471506.3326,144225,327281.3326,641591,51.01089832,1.889047934
460176.142,153675,306501.142,641591,47.77204512,1.769105938
502471.1952,180450,322021.1952,641591,50.19103996,1.858686741
501536.1415,179550,321986.1415,641591,50.18557641,1.858484413
504151.7606,196875,307276.7606,641591,47.89293501,1.773582762
494316.0347,191475,302841.0347,641591,47.20157152,1.747980022
459304.2466,144225,315079.2466,641591,49.10905025,1.818618236
431421.7943,153675,277746.7943,641591,43.29031958,1.603137593
467547.6016,180450,287097.6016,641591,44.74776011,1.657109884
501088.8616,179550,321538.8616,641591,50.11586223,1.855902741
509699.8899,196875,312824.8899,641591,48.7576805,1.805606226
422827.0034,191475,231352.0034,641591,36.05910984,1.335349684
422599.2969,144225,278374.2969,641591,43.38812373,1.6067595
416386.4241,153675,262711.4241,641591,40.94686866,1.516354351
414981.876,180450,234531.876,641591,36.55473284,1.353703715
448334.3831,179550,268784.3831,641591,41.89341544,1.551407101
436792.2618,196875,239917.2618,641591,37.39411272,1.384787834
414783.9956,191475,223308.9956,641591,34.80550625,1.288925932
385255.2291,144225,241030.2291,641591,37.56758263,1.391211813
385920.2889,153675,232245.2889,641591,36.19833958,1.340505673
439694.2026,180450,259244.2026,641591,40.40645872,1.49634176
429339.6953,179550,249789.6953,641591,38.93285525,1.441770919
438091.4116,196875,241216.4116,641591,37.59660151,1.392286447
383272.7629,191475,191797.7629,641591,29.89408563,1.107045015
365871.6465,144225,221646.6465,641591,34.54640831,1.279330955
374099.7842,153675,220424.7842,641591,34.35596575,1.27227844
367985.8093,180450,187535.8093,641591,29.22980673,1.082445278
371290.7347,179550,191740.7347,641591,29.88519707,1.106715852
396171.0139,196875,199296.0139,641591,31.06278204,1.150324463
353444.9698,191475,161969.9698,641591,25.24505017,0.934880808
330091.0959,144225,185866.0959,641591,28.96956097,1.072807794
338052.5358,153675,184377.5358,641591,28.73755022,1.064215916
367182.6408,180450,186732.6408,641591,29.10462285,1.077809438
374706.6197,179550,195156.6197,641591,30.41760555,1.126432132
363494.6964,196875,166619.6964,641591,25.96976835,0.961718747
357293.1538,191475,165818.1538,641591,25.84483787,0.957092292
337482.2839,144225,193257.2839,641591,30.12157026,1.115469281
342094.171,153675,188419.171,641591,29.36748972,1.087543988
346368.7458,180450,165918.7458,641591,25.86051641,0.957672903
310964.7639,179550,131414.7639,641591,20.4826383,0.758518019
317288.3516,196875,120413.3516,641591,18.76793028,0.695018537
305433.5407,191475,113958.5407,641591,17.76186709,0.657761761
288543.1775,144225,144318.1775,641591,22.49379706,0.832995737
293377.057,153675,139702.057,641591,21.77431682,0.806351771
302847.1028,180450,122397.1028,641591,19.07712278,0.706468628
310492.0926,179550,130942.0926,641591,20.40896656,0.75578979
298375.9836,196875,101500.9836,641591,15.82020065,0.5858575
277399.8636,191475,85924.86362,641591,13.3924671,0.495953083
253160.7115,144225,108935.7115,641591,16.9789962,0.628770297
258736.1561,153675,105061.1561,641591,16.37509816,0.606406599
500100.2633,180450,319650.2633,641591,49.82150051,1.845001866
461328.2536,179550,281778.2536,641591,43.91867306,1.626406931
493837.5899,196875,296962.5899,641591,46.2853422,1.714049996
472959.5913,191475,281484.5913,641591,43.87290211,1.62471193
439117.968,144225,294892.968,641591,45.96276569,1.702104264
414628.9642,153675,260953.9642,641591,40.6729465,1.5062104
516156.1621,180450,335706.1621,641591,52.32401359,1.937675537
484789.8494,179550,305239.8494,641591,47.57545686,1.761825834
506381.345,196875,309506.345,641591,48.24044369,1.786451787
485073.2666,191475,293598.2666,641591,45.76097024,1.694631326
471049.4237,144225,326824.4237,641591,50.93968334,1.886410684
472477.046,153675,318802.046,641591,49.68929521,1.840106008
554093.2891,180450,373643.2891,641591,58.2369904,2.156646325
550914.8319,179550,371364.8319,641591,57.88186429,2.143495209
615568.9697,196875,418693.9697,641591,65.25870371,2.416676112
507205.2628,191475,315730.2628,641591,49.21051929,1.822375862
470308.0335,144225,326083.0335,641591,50.82412837,1.882131424
479774.6023,153675,326099.6023,641591,50.82671083,1.882227058
