sed yield (total),sed yield (without offset)
639031.6869,458581.6869
640230.6788,460680.6788
619170.1314,422295.1314
611379.8274,419904.8274
584110.4068,439885.4068
512571.9797,358896.9797
302847.1028,369821.3394
310492.0926,424654.6081
298375.9836,391710.0715
277399.8636,325577.3331
253160.7115,347360.4208
258736.1561,336065.6796
550271.3394,335557.431
604204.6081,339510.5214
588585.0715,300526.402
517052.3331,272880.9109
491585.4208,327281.3326
489740.6796,306501.142
516007.431,322021.1952
519060.5214,321986.1415
497401.402,307276.7606
464355.9109,302841.0347
471506.3326,315079.2466
460176.142,277746.7943
502471.1952,287097.6016
501536.1415,321538.8616
504151.7606,312824.8899
494316.0347,231352.0034
459304.2466,278374.2969
431421.7943,262711.4241
467547.6016,234531.876
501088.8616,268784.3831
509699.8899,239917.2618
422827.0034,223308.9956
422599.2969,241030.2291
416386.4241,232245.2889
414981.876,259244.2026
448334.3831,249789.6953
436792.2618,241216.4116
414783.9956,191797.7629
385255.2291,221646.6465
385920.2889,220424.7842
439694.2026,187535.8093
429339.6953,191740.7347
438091.4116,199296.0139
383272.7629,161969.9698
365871.6465,185866.0959
374099.7842,184377.5358
367985.8093,186732.6408
371290.7347,195156.6197
396171.0139,166619.6964
353444.9698,165818.1538
330091.0959,193257.2839
338052.5358,188419.171
367182.6408,165918.7458
374706.6197,131414.7639
363494.6964,120413.3516
357293.1538,113958.5407
337482.2839,144318.1775
342094.171,139702.057
346368.7458,122397.1028
310964.7639,130942.0926
317288.3516,101500.9836
305433.5407,85924.86362
288543.1775,108935.7115
293377.057,105061.1561
500100.2633,319650.2633
461328.2536,281778.2536
493837.5899,296962.5899
472959.5913,281484.5913
439117.968,294892.968
414628.9642,260953.9642
554093.2891,335706.1621
550914.8319,305239.8494
615568.9697,309506.345
507205.2628,293598.2666
470308.0335,326824.4237
479774.6023,318802.046
516156.1621,373643.2891
484789.8494,371364.8319
506381.345,418693.9697
485073.2666,315730.2628
471049.4237,326083.0335
472477.046,326099.6023
